Country,Article_Count
United States,370
Pakistan,199
Unknown,125
China,115
United Kingdom,92
India,87
Singapore,68
South Korea,63
Vietnam,61
Taiwan,53
Iran,48
Japan,44
Germany,43
Argentina,38
Australia,32
France,31
South Africa,27
Malaysia,20
Ukraine,18
Brazil,18
Uganda,15
"Palestine, State of",15
Russian Federation,14
Mexico,12
Saint Kitts and Nevis,12
Zimbabwe,11
Kenya,11
Canada,10
Italy,8
Israel,8
"Virgin Islands, U.S.",7
Greece,6
Spain,6
North Korea,5
Philippines,5
Turkey,5
Switzerland,5
Poland,5
Liberia,5
Libya,4
Thailand,4
New Zealand,4
Laos,3
Indonesia,3
TÃ¼rkiye,3
Nigeria,3
Iraq,3
Senegal,3
Fiji,2
Congo,2
Russia,2
Myanmar,2
Lebanon,2
Romania,2
Norway,2
Gabon,2
Armenia,2
Jordan,2
Colombia,2
Egypt,2
Bangladesh,2
Hong Kong,1
Denmark,1
Czechia,1
Somalia,1
Rwanda,1
Malawi,1
Chile,1
Cambodia,1
Tunisia,1
Mali,1
Guatemala,1
Sweden,1
Ecuador,1
Monaco,1
Bulgaria,1
Ghana,1
North Macedonia,1
South Sudan,1
Finland,1
Bosnia and Herzegovina,1
El Salvador,1
Saudi Arabia,1
Slovakia,1
Hungary,1
Yemen,1
Sri Lanka,1
